chain_id,start_window,end_window,n_windows,dominant_type,dominant_stage,total_events,mean_severity,max_severity,src_community,dst_community,involved_campaign_segments,persistence_score,representative_src_ip,representative_dst_ip,narrative
CHAIN_00002,0,18,19,backdoor,persistence_or_manipulation,3769,0.8428092105263157,0.8500000000000001,5,5,19,0.99154754784689,192.168.1.193,192.168.1.33,"CHAIN_00002 represents a persistence_or_manipulation campaign dominated by backdoor activity, spanning windows 0 to 18 across 19 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.193 to 192.168.1.33. It contains 3769 aggregated suspicious events and has mean severity 0.8428."
CHAIN_00007,20,24,5,ddos,disruption_or_impact,1000,0.8699999999999999,1.0,2,3,5,0.40911937729221387,192.168.1.30,192.168.1.184,"CHAIN_00007 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 20 to 24 across 5 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.184. It contains 1000 aggregated suspicious events and has mean severity 0.8700."
CHAIN_00011,26,28,3,ddos,disruption_or_impact,579,0.8115,0.8350000000000001,2,3,3,0.3090383730407086,192.168.1.30,192.168.1.190,"CHAIN_00011 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 26 to 28 across 3 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.190. It contains 579 aggregated suspicious events and has mean severity 0.8115."
CHAIN_00446,105,106,2,ransomware,persistence_or_manipulation,338,0.772,0.775,5,5,2,0.2534313925869693,192.168.1.33,192.168.1.193,"CHAIN_00446 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 105 to 106 across 2 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 338 aggregated suspicious events and has mean severity 0.7720."
CHAIN_00240,76,76,1,injection,initial_access_or_exploitation,120,0.8799999999999999,0.8799999999999999,1,1,1,0.2337881051793719,192.168.1.31,18.184.104.180,"CHAIN_00240 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 76 to 76 across 1 windows. The campaign is primarily associated with source community 1 and target community 1, with representative communication from 192.168.1.31 to 18.184.104.180. It contains 120 aggregated suspicious events and has mean severity 0.8800."
CHAIN_00015,30,30,1,ddos,disruption_or_impact,191,0.84325,0.84325,2,3,1,0.2329709876656837,192.168.1.30,192.168.1.1,"CHAIN_00015 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 30 to 30 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.1. It contains 191 aggregated suspicious events and has mean severity 0.8433."
CHAIN_00175,60,60,1,injection,initial_access_or_exploitation,118,0.877,0.877,1,4,1,0.2328940291042133,192.168.1.31,192.168.1.195,"CHAIN_00175 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 60 to 60 across 1 windows. The campaign is primarily associated with source community 1 and target community 4, with representative communication from 192.168.1.31 to 192.168.1.195. It contains 118 aggregated suspicious events and has mean severity 0.8770."
CHAIN_00205,66,66,1,injection,initial_access_or_exploitation,183,0.83725,0.83725,2,3,1,0.2307583197286857,192.168.1.30,192.168.1.190,"CHAIN_00205 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 66 to 66 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.190. It contains 183 aggregated suspicious events and has mean severity 0.8373."
CHAIN_00193,64,64,1,injection,initial_access_or_exploitation,112,0.8680000000000001,0.8680000000000001,1,4,1,0.23021180087873758,192.168.1.31,192.168.1.195,"CHAIN_00193 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 64 to 64 across 1 windows. The campaign is primarily associated with source community 1 and target community 4, with representative communication from 192.168.1.31 to 192.168.1.195. It contains 112 aggregated suspicious events and has mean severity 0.8680."
CHAIN_00226,71,71,1,injection,initial_access_or_exploitation,181,0.83575,0.83575,1,3,1,0.2302051527444362,192.168.1.31,192.168.1.190,"CHAIN_00226 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 71 to 71 across 1 windows. The campaign is primarily associated with source community 1 and target community 3, with representative communication from 192.168.1.31 to 192.168.1.190. It contains 181 aggregated suspicious events and has mean severity 0.8357."
CHAIN_00212,68,68,1,injection,initial_access_or_exploitation,111,0.8665,0.8665,2,1,1,0.22976476284115827,192.168.1.30,18.184.104.180,"CHAIN_00212 represents a initial_access_or_exploitation campaign dominated by injection activity, spanning windows 68 to 68 across 1 windows. The campaign is primarily associated with source community 2 and target community 1, with representative communication from 192.168.1.30 to 18.184.104.180. It contains 111 aggregated suspicious events and has mean severity 0.8665."
CHAIN_00715,143,143,1,ransomware,persistence_or_manipulation,176,0.8298382468786534,0.8298382468786534,5,5,1,0.22833092775623365,192.168.1.33,192.168.1.193,"CHAIN_00715 represents a persistence_or_manipulation campaign dominated by ransomware activity, spanning windows 143 to 143 across 1 windows. The campaign is primarily associated with source community 5 and target community 5, with representative communication from 192.168.1.33 to 192.168.1.193. It contains 176 aggregated suspicious events and has mean severity 0.8298."
CHAIN_00009,25,25,1,ddos,disruption_or_impact,167,0.82525,0.82525,2,3,1,0.22633298385468972,192.168.1.30,192.168.1.190,"CHAIN_00009 represents a disruption_or_impact campaign dominated by ddos activity, spanning windows 25 to 25 across 1 windows. The campaign is primarily associated with source community 2 and target community 3, with representative communication from 192.168.1.30 to 192.168.1.190. It contains 167 aggregated suspicious events and has mean severity 0.8253."
