time_window,src_ip,dst_ip,event_count,mean_score,max_score,dominant_type,unique_types,first_case_id,last_case_id,severity,src_community,dst_community,same_community
0,192.168.1.193,192.168.1.33,20,1.0,1.0,backdoor,backdoor,CASE_00000047,CASE_00000086,0.73,5,5,1
0,192.168.1.193,192.168.1.37,141,1.0,1.0,backdoor,backdoor,CASE_00000000,CASE_00000180,0.9115,5,5,1
0,192.168.1.32,176.28.50.165,9,1.0,1.0,xss,xss,CASE_00038050,CASE_00038034,0.7135,3,3,1
0,192.168.1.32,18.194.169.124,1,1.0,1.0,xss,xss,CASE_00038094,CASE_00038094,0.7015,3,3,1
0,192.168.1.32,192.168.1.1,16,1.0,1.0,xss,xss,CASE_00038055,CASE_00038038,0.724,3,3,1
0,192.168.1.32,192.168.1.152,1,1.0,1.0,xss,xss,CASE_00038035,CASE_00038035,0.7015,3,3,1
0,192.168.1.32,192.168.1.190,1,1.0,1.0,xss,xss,CASE_00038039,CASE_00038039,0.7015,3,3,1
0,192.168.1.32,192.168.1.195,3,1.0,1.0,xss,xss,CASE_00038059,CASE_00038062,0.7044999999999999,3,4,0
0,192.168.1.33,192.168.1.193,3,1.0,1.0,backdoor,backdoor,CASE_00000074,CASE_00000076,0.7044999999999999,5,5,1
0,192.168.1.37,192.168.1.193,5,1.0,1.0,backdoor,backdoor,CASE_00000055,CASE_00000054,0.7075,5,5,1
1,192.168.1.193,192.168.1.33,37,1.0,1.0,backdoor,backdoor,CASE_00000255,CASE_00000428,0.7555000000000001,5,5,1
1,192.168.1.193,192.168.1.37,159,1.0,1.0,backdoor,backdoor,CASE_00000181,CASE_00000426,0.9384999999999999,5,5,1
1,192.168.1.33,192.168.1.193,4,1.0,1.0,backdoor,backdoor,CASE_00000295,CASE_00000294,0.706,5,5,1
2,192.168.1.193,192.168.1.33,112,1.0,1.0,backdoor,backdoor,CASE_00000429,CASE_00000612,0.8680000000000001,5,5,1
2,192.168.1.193,192.168.1.37,88,1.0,1.0,backdoor,backdoor,CASE_00000415,CASE_00000622,0.8320000000000001,5,5,1
3,192.168.1.193,192.168.1.33,116,1.0,1.0,backdoor,backdoor,CASE_00000613,CASE_00000795,0.8739999999999999,5,5,1
3,192.168.1.193,192.168.1.37,84,1.0,1.0,backdoor,backdoor,CASE_00000614,CASE_00000796,0.8260000000000001,5,5,1
4,192.168.1.193,192.168.1.33,104,1.0,1.0,backdoor,backdoor,CASE_00000797,CASE_00000976,0.8560000000000001,5,5,1
4,192.168.1.193,192.168.1.37,96,1.0,1.0,backdoor,backdoor,CASE_00000784,CASE_00000980,0.8440000000000001,5,5,1
5,192.168.1.193,192.168.1.33,113,1.0,1.0,backdoor,backdoor,CASE_00000982,CASE_00001228,0.8694999999999999,5,5,1
5,192.168.1.193,192.168.1.37,87,1.0,1.0,backdoor,backdoor,CASE_00000981,CASE_00001227,0.8305,5,5,1
6,192.168.1.193,192.168.1.33,110,1.0,1.0,backdoor,backdoor,CASE_00001230,CASE_00001412,0.865,5,5,1
6,192.168.1.193,192.168.1.37,90,1.0,1.0,backdoor,backdoor,CASE_00001229,CASE_00001410,0.835,5,5,1
7,192.168.1.193,192.168.1.33,110,1.0,1.0,backdoor,backdoor,CASE_00001414,CASE_00001596,0.865,5,5,1
7,192.168.1.193,192.168.1.37,90,1.0,1.0,backdoor,backdoor,CASE_00001413,CASE_00001595,0.835,5,5,1
8,192.168.1.193,192.168.1.33,113,1.0,1.0,backdoor,backdoor,CASE_00001597,CASE_00001780,0.8694999999999999,5,5,1
8,192.168.1.193,192.168.1.37,87,1.0,1.0,backdoor,backdoor,CASE_00001583,CASE_00001779,0.8305,5,5,1
9,192.168.1.193,192.168.1.33,116,1.0,1.0,backdoor,backdoor,CASE_00001781,CASE_00002025,0.8739999999999999,5,5,1
9,192.168.1.193,192.168.1.37,84,1.0,1.0,backdoor,backdoor,CASE_00001832,CASE_00002028,0.8260000000000001,5,5,1
10,192.168.1.193,192.168.1.33,120,1.0,1.0,backdoor,backdoor,CASE_00002021,CASE_00002211,0.8799999999999999,5,5,1
10,192.168.1.193,192.168.1.37,80,1.0,1.0,backdoor,backdoor,CASE_00002029,CASE_00002212,0.8200000000000001,5,5,1
11,192.168.1.193,192.168.1.33,109,1.0,1.0,backdoor,backdoor,CASE_00002213,CASE_00002396,0.8634999999999999,5,5,1
11,192.168.1.193,192.168.1.37,91,1.0,1.0,backdoor,backdoor,CASE_00002214,CASE_00002393,0.8365,5,5,1
12,192.168.1.193,192.168.1.33,111,1.0,1.0,backdoor,backdoor,CASE_00002397,CASE_00002579,0.8665,5,5,1
12,192.168.1.193,192.168.1.37,89,1.0,1.0,backdoor,backdoor,CASE_00002385,CASE_00002580,0.8334999999999999,5,5,1
13,192.168.1.193,192.168.1.33,105,1.0,1.0,backdoor,backdoor,CASE_00002581,CASE_00002828,0.8574999999999999,5,5,1
13,192.168.1.193,192.168.1.37,95,1.0,1.0,backdoor,backdoor,CASE_00002631,CASE_00002826,0.8425,5,5,1
14,192.168.1.193,192.168.1.33,103,1.0,1.0,backdoor,backdoor,CASE_00002829,CASE_00003017,0.8545,5,5,1
14,192.168.1.193,192.168.1.37,97,1.0,1.0,backdoor,backdoor,CASE_00002830,CASE_00003012,0.8454999999999999,5,5,1
15,192.168.1.193,192.168.1.33,105,1.0,1.0,backdoor,backdoor,CASE_00003014,CASE_00003196,0.8574999999999999,5,5,1
15,192.168.1.193,192.168.1.37,95,1.0,1.0,backdoor,backdoor,CASE_00003013,CASE_00003194,0.8425,5,5,1
16,192.168.1.193,192.168.1.33,108,1.0,1.0,backdoor,backdoor,CASE_00003197,CASE_00003379,0.8620000000000001,5,5,1
16,192.168.1.193,192.168.1.37,92,1.0,1.0,backdoor,backdoor,CASE_00003198,CASE_00003380,0.8380000000000001,5,5,1
17,192.168.1.193,192.168.1.33,107,1.0,1.0,backdoor,backdoor,CASE_00003381,CASE_00003626,0.8605,5,5,1
17,192.168.1.193,192.168.1.37,93,1.0,1.0,backdoor,backdoor,CASE_00003431,CASE_00003628,0.8394999999999999,5,5,1
18,192.168.1.193,192.168.1.33,109,1.0,1.0,backdoor,backdoor,CASE_00003630,CASE_00003821,0.8634999999999999,5,5,1
18,192.168.1.193,192.168.1.37,91,1.0,1.0,backdoor,backdoor,CASE_00003629,CASE_00003812,0.8365,5,5,1
19,192.168.1.193,192.168.1.33,31,1.0,1.0,backdoor,backdoor,CASE_00003813,CASE_00003862,0.7464999999999999,5,5,1
19,192.168.1.193,192.168.1.37,32,1.0,1.0,backdoor,backdoor,CASE_00003814,CASE_00003858,0.748,5,5,1
19,192.168.1.30,192.168.1.1,7,1.0,1.0,ddos,ddos,CASE_00003871,CASE_00003995,0.7104999999999999,2,3,0
19,192.168.1.30,192.168.1.184,127,1.0,1.0,ddos,ddos,CASE_00003879,CASE_00003997,0.8905000000000001,2,3,0
19,192.168.1.31,192.168.1.1,1,1.0,1.0,ddos,ddos,CASE_00003911,CASE_00003911,0.7015,1,3,0
19,192.168.1.31,52.59.177.21,2,1.0,1.0,ddos,ddos,CASE_00003868,CASE_00003869,0.7030000000000001,1,1,1
20,192.168.1.30,192.168.1.1,4,1.0,1.0,ddos,ddos,CASE_00004088,CASE_00004163,0.706,2,3,0
20,192.168.1.30,192.168.1.184,196,1.0,1.0,ddos,ddos,CASE_00003998,CASE_00004181,0.994,2,3,0
21,192.168.1.30,192.168.1.1,9,1.0,1.0,ddos,ddos,CASE_00004218,CASE_00004389,0.7135,2,3,0
21,192.168.1.30,192.168.1.184,191,1.0,1.0,ddos,ddos,CASE_00004182,CASE_00004415,0.9864999999999999,2,3,0
22,192.168.1.30,192.168.1.1,6,1.0,1.0,ddos,ddos,CASE_00004459,CASE_00004599,0.7090000000000001,2,3,0
22,192.168.1.30,192.168.1.184,194,1.0,1.0,ddos,ddos,CASE_00004416,CASE_00004614,0.9909999999999999,2,3,0
23,192.168.1.30,192.168.1.1,5,1.0,1.0,ddos,ddos,CASE_00004642,CASE_00004716,0.7075,2,3,0
23,192.168.1.30,192.168.1.184,103,1.0,1.0,ddos,ddos,CASE_00004600,CASE_00004694,0.8545,2,3,0
23,192.168.1.30,192.168.1.190,92,1.0,1.0,ddos,ddos,CASE_00004717,CASE_00004786,0.8380000000000001,2,3,0
24,192.168.1.30,192.168.1.190,200,1.0,1.0,ddos,ddos,CASE_00004787,CASE_00005034,1.0,2,3,0
25,192.168.1.30,192.168.1.1,2,1.0,1.0,ddos,ddos,CASE_00005177,CASE_00005178,0.7030000000000001,2,3,0
25,192.168.1.30,192.168.1.190,165,1.0,1.0,ddos,ddos,CASE_00005035,CASE_00005230,0.9475,2,3,0
25,192.168.1.30,192.168.1.194,33,1.0,1.0,ddos,ddos,CASE_00005191,CASE_00005220,0.7495,2,2,1
26,192.168.1.30,192.168.1.1,26,1.0,1.0,ddos,ddos,CASE_00005292,CASE_00005404,0.7390000000000001,2,3,0
